X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire_occurred,area
3,6,6,0,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0,0.0
6,5,8,2,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0,0,0.0
1,4,11,3,89.6,84.1,714.3,5.7,19.0,52,2.2,0.0,0,0.0
7,4,11,3,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,1,186.3780329487671
3,4,11,3,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,1,247.9699153745272
2,4,11,3,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0,0,0.0
2,4,11,3,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0,0.0
7,4,11,3,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0,0.0
6,3,11,3,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,1,221.64418773178457
2,4,11,3,50.4,46.2,706.6,0.4,12.2,78,6.3,0.0,0,0.0
6,5,11,6,92.6,115.4,777.1,8.8,24.3,27,4.9,0.0,0,0.0
4,4,11,6,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1,185.0946433440204
3,4,11,6,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0,0,0.0
4,5,11,4,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0,0.0
4,4,11,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,1,212.98091975899536
6,5,11,4,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,0,0.0
5,4,11,4,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0,1,191.331495826305
6,3,11,4,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,1,159.34052077383612
1,4,11,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1,53.66079998355072
6,5,11,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1,154.4522541335648
3,5,11,4,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,1,205.8337009277929
6,5,11,4,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,1,106.94372755760124
1,4,11,2,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0,0.0
5,4,11,2,92.2,102.3,751.5,8.4,24.1,27,3.1,0.0,0,0.0
6,5,11,2,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0,0,0.0
6,5,11,2,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0,0,0.0
4,3,11,2,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,1,76.29156877875165
3,3,11,2,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,1,49.81328649216161
7,4,11,2,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,1,160.33596372139297
4,4,11,2,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0,1,242.94074521822512
1,4,11,1,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,1,55.02916618969002
2,3,11,1,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,0,0.0
4,3,11,1,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0,0.0
7,4,11,1,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,0,0.0
6,3,11,1,91.6,108.4,764.0,6.2,23.0,34,2.2,0.0,1,19.01364523432379
8,6,11,1,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0,1,106.0935418927728
2,4,11,1,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0,1,227.57323044685154
2,5,11,1,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,1,62.17844883209988
8,6,11,1,91.9,111.7,770.3,6.5,15.7,51,2.2,0.0,0,0.0
6,3,11,1,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0,0.0
8,6,11,1,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,1,22.277030245038166
6,3,11,1,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,1,144.3658421875951
2,2,11,1,91.5,130.1,807.1,7.5,16.8,43,3.1,0.0,1,199.24813415935546
1,4,11,1,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,1,248.56027944147047
5,4,11,0,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0,0.0
3,4,11,0,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0,0,0.0
5,4,11,0,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1,177.23830150286224
5,4,11,0,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,1,22.843183744959802
4,4,11,0,92.1,99.0,745.3,9.6,15.4,53,6.3,0.0,1,123.36700291178236
7,4,11,0,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0,1,228.42149370325222
7,4,11,0,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1,78.60518361919956
7,4,11,0,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,1,185.23563378022288
4,4,11,0,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1,47.548084046359236
4,4,11,0,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1,51.802963188172875
6,3,11,0,92.5,122.0,789.7,10.2,15.9,55,3.6,0.0,0,0.0
6,3,11,0,92.5,122.0,789.7,10.2,19.7,39,2.7,0.0,0,0.0
1,4,11,0,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0,1,27.84851824834637
6,5,11,0,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,1,8.065376536243885
4,3,11,0,92.5,122.0,789.7,10.2,17.3,45,4.0,0.0,1,47.21047956683514
7,4,11,0,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,1,67.21980584902818
4,3,11,5,91.9,111.7,770.3,6.5,15.9,53,2.2,0.0,1,192.66133506910194
6,5,11,5,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0,1,54.42921889761158
6,5,11,5,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,1,168.60205345020051
4,5,11,5,91.1,132.3,812.1,12.5,15.9,38,5.4,0.0,1,211.93306611538205
4,5,11,5,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0,0.0
6,5,11,2,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,1,205.1162834260917
4,5,11,3,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,0,0.0
7,4,11,3,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,1,44.23055079632023
3,4,5,6,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,0,0.0
4,5,1,3,92.0,203.2,664.5,8.1,10.4,75,0.9,0.0,0,0.0
5,4,1,4,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0,0,0.0
6,5,11,0,90.3,290.0,855.3,7.4,10.3,78,4.0,0.0,1,169.3401367625809
6,5,11,2,91.2,94.3,744.4,8.4,15.4,57,4.9,0.0,1,50.540583863207075
8,6,1,1,92.1,207.0,672.6,8.2,21.1,54,2.2,0.0,0,0.0
2,2,1,2,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,1,183.7132036288861
6,5,7,4,90.9,18.9,30.6,8.0,8.7,51,5.8,0.0,0,0.0
4,5,4,3,18.7,1.1,171.4,0.0,5.2,100,0.9,0.0,0,0.0
5,4,5,6,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,1,77.32202141754077
8,6,1,4,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,1,70.13908250993055
8,6,1,6,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,1,193.57422070406005
9,6,1,4,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,1,40.01920740715747
8,4,1,2,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,1,225.49060787374762
2,4,1,3,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,1,224.46445549486467
3,4,11,3,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,1,199.15605315999247
5,5,7,4,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0,0,0.0
6,4,1,0,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,1,46.87755639508593
7,4,1,0,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,0,0.0
7,4,3,1,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0,1,33.834576561737
8,6,11,0,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0,1,173.66411445733652
1,3,11,3,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,1,240.68785345792486
2,4,7,5,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,0,0.0
6,5,3,1,84.1,4.6,46.7,2.2,5.3,68,1.8,0.0,0,0.0
4,5,3,3,85.0,9.0,56.9,3.5,10.1,62,1.8,0.0,1,96.05717413452898
4,3,11,3,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,1,52.06292281657193
5,6,1,3,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,1,32.36228013509978
1,2,1,2,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0,0,0.0
9,5,6,6,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,0,0.0
9,5,6,6,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,1,66.56132562656727
3,4,11,4,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0,1,36.56294338927768
9,9,1,0,94.8,227.0,706.7,12.0,25.0,36,4.0,0.0,0,0.0
8,6,1,4,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0,0,0.0
2,4,11,6,87.9,84.8,725.1,3.7,21.8,34,2.2,0.0,1,232.44869871790928
2,2,1,5,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,0,0.0
6,5,11,2,87.1,291.3,860.6,4.0,17.0,67,4.9,0.0,1,240.17003138331424
4,5,3,2,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,0,0.0
4,3,11,0,90.3,290.0,855.3,7.4,19.9,44,3.1,0.0,1,106.44939481904389
1,4,5,5,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,0,0.0
6,3,3,0,84.1,7.3,52.8,2.7,14.7,42,2.7,0.0,0,0.0
7,4,3,0,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,1,112.97744006788646
9,4,5,1,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,1,14.46838482204956
7,5,1,2,93.7,231.1,715.1,8.4,26.4,33,3.6,0.0,0,0.0
5,4,1,3,93.6,235.1,723.1,10.1,24.1,50,4.0,0.0,0,0.0
8,6,1,4,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,1,122.77299212201889
6,3,5,5,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,1,57.819047511423754
6,5,7,6,93.4,17.3,28.3,9.9,13.8,24,5.8,0.0,0,0.0
2,4,1,3,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,1,9.908384007029678
2,5,1,3,91.6,181.3,613.0,7.6,24.8,36,4.0,0.0,1,29.264921599761355
8,8,1,6,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,1,124.94722382806269
2,4,1,6,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0,0,0.0
8,6,5,3,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,1,232.07203590006648
1,3,11,2,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0,1,74.12330836953025
8,6,1,2,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0,1,94.16150444676748
2,2,1,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0,0.0
8,6,1,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0,0.0
2,4,1,1,92.1,207.0,672.6,8.2,27.9,33,2.2,0.0,1,211.68961910692798
1,3,1,4,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,0,0.0
3,4,1,3,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,1,160.4892815458352
7,4,11,4,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0,0.0
1,3,1,2,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,1,175.19647600298734
8,6,1,4,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0,0,0.0
2,4,1,3,93.6,235.1,723.1,10.1,20.9,66,4.9,0.0,1,220.14328979166416
1,4,1,0,90.6,269.8,811.2,5.5,22.2,45,3.6,0.0,0,0.0
2,5,5,2,90.8,84.7,376.6,5.6,23.8,51,1.8,0.0,0,0.0
8,6,1,1,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,1,127.78806815216575
8,6,1,2,89.4,253.6,768.4,9.7,14.2,73,2.7,0.0,0,0.0
2,5,1,2,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,1,164.01478645985986
1,3,11,0,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,1,173.8273965357413
5,4,11,0,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,0,0.0
8,6,1,1,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1,123.21611251299568
6,5,0,1,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0,1,62.2375216850505
1,2,5,0,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,0,0.0
2,5,11,0,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,1,112.2331051145666
5,5,1,3,94.0,47.9,100.7,10.7,17.3,80,4.5,0.0,0,0.0
6,5,1,3,92.0,203.2,664.5,8.1,19.1,70,2.2,0.0,0,0.0
3,4,7,6,93.4,17.3,28.3,9.9,8.9,35,8.0,0.0,0,0.0
7,4,11,6,89.7,284.9,844.0,10.1,10.5,77,4.0,0.0,0,0.0
7,4,1,3,91.6,181.3,613.0,7.6,19.3,61,4.9,0.0,0,0.0
4,5,1,6,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,1,51.43492049402071
1,4,1,0,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,1,169.61751854891384
7,4,1,1,91.5,238.2,730.6,7.5,17.7,65,4.0,0.0,0,0.0
4,5,1,4,89.4,266.2,803.3,5.6,17.4,54,3.1,0.0,0,0.0
3,4,1,4,91.6,248.4,753.8,6.3,16.8,56,3.1,0.0,0,0.0
3,4,5,1,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0,0,0.0
2,4,1,4,91.6,248.4,753.8,6.3,16.6,59,2.7,0.0,0,0.0
1,4,1,6,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,1,30.862555686547577
8,6,1,2,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,1,213.75285424181305
7,4,1,2,91.6,273.8,819.1,7.7,15.5,72,8.0,0.0,1,98.67828976861449
2,5,1,2,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0,0.0
8,6,1,2,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0,0.0
1,4,11,3,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0,1,8.878281835947814
6,5,3,5,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,1,9.077191796338676
6,4,3,5,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,1,117.38417026984744
2,2,3,2,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0,1,139.55924521186589
6,5,7,1,87.2,15.1,36.9,7.1,10.2,45,5.8,0.0,1,171.92006421904162
3,4,7,6,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,1,200.41697412524678
6,5,7,4,91.3,20.6,43.5,8.5,13.3,27,3.6,0.0,1,156.06395540036416
6,3,0,3,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,1,148.1999178005146
5,4,0,3,91.0,14.6,25.6,12.3,17.6,27,5.8,0.0,0,0.0
4,3,8,0,89.6,25.4,73.7,5.7,18.0,40,4.0,0.0,1,209.2317923143904
8,3,6,1,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1,123.78309230797188
9,4,6,2,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,1,46.774013878419154
4,3,6,4,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,1,76.69049316508581
2,5,6,4,93.7,121.7,350.2,18.0,22.7,40,9.4,0.0,1,151.8184092506289
4,3,5,4,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0,1,13.125723665961901
4,3,5,3,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,1,171.1462723524362
7,4,5,3,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0,1,5.230446891429182
7,4,5,1,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,1,193.98018500869233
9,9,5,4,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,1,108.95793254439128
4,3,5,4,93.2,114.4,560.0,9.5,30.2,22,4.9,0.0,0,0.0
3,4,1,3,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1,64.7546368085482
8,6,1,3,94.9,130.3,587.1,14.1,31.0,27,5.4,0.0,0,0.0
2,5,1,3,94.9,130.3,587.1,14.1,33.1,25,4.0,0.0,1,172.3419801019398
2,4,1,1,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,1,236.67026277315665
5,4,1,5,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,1,201.65809071691217
5,4,1,5,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,1,191.5417934940488
4,4,1,5,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,1,233.85047518856115
4,4,1,6,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0,0,0.0
4,4,1,6,95.1,141.3,605.8,17.7,28.7,33,4.0,0.0,0,0.0
4,4,1,4,95.8,152.0,624.1,13.8,32.4,21,4.5,0.0,0,0.0
1,3,1,0,95.9,158.0,633.6,11.3,32.4,27,2.2,0.0,0,0.0
1,3,1,0,95.9,158.0,633.6,11.3,27.5,29,4.5,0.0,1,18.933232571099207
6,6,1,2,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0,1,148.65463086182334
6,6,1,1,96.2,175.5,661.8,16.8,23.9,42,2.2,0.0,0,0.0
4,5,1,1,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0,1,38.463847477714346
3,4,1,5,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0,1,211.3598176010796
6,5,1,5,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,1,33.215152938397196
7,5,1,5,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,1,183.06620080763176
8,6,1,5,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0,0.0
7,5,1,5,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0,0.0
4,4,1,5,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0,0.0
2,4,1,6,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1,89.91223436247525
4,3,1,6,94.5,139.4,689.1,20.0,28.9,29,4.9,0.0,1,176.7825368784203
1,2,1,4,91.0,163.2,744.4,10.1,26.7,35,1.8,0.0,1,109.36954855437037
1,2,1,0,91.0,166.9,752.6,7.1,18.5,73,8.5,0.0,0,0.0
2,4,1,0,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0,0.0
1,2,1,0,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0,0.0
5,4,1,0,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4,1,213.2916322359016
6,5,1,0,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,1,126.27863721554417
8,6,1,3,81.6,56.7,665.6,1.9,27.8,35,2.7,0.0,0,0.0
4,3,1,3,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,1,85.36391795475326
2,4,1,3,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,1,46.03262898383124
7,4,1,3,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0,1,188.1700192015655
1,4,1,2,94.4,146.0,614.7,11.3,25.6,42,4.0,0.0,0,0.0
6,3,9,5,79.5,3.0,106.7,1.1,11.8,31,4.5,0.0,0,0.0
2,3,1,4,91.6,248.4,753.8,6.3,18.355002067111617,56,2.7112494832220957,0.0,0,0.0
3,4,11,2,92.2,102.3,751.5,8.4,24.129122914019806,27,3.1,0.0,0,0.0
3,4,2,1,93.92696181580538,147.39583036871898,583.7200281575043,18.902670421000565,17.716444131583287,50,4.596743973639376,0.0,0,0.0
5,5,1,3,92.0,203.2,664.5,8.1,17.886403412327237,70,2.0186579811523457,0.0,0,0.0
3,2,1,3,91.57078553514647,245.42012458494077,747.0222441539829,6.650573578242262,19.61120944895491,58,2.725860367363393,0.0,0,0.0
5,4,1,2,92.73064012908326,140.49908552988109,596.8378052717146,16.746290120051192,22.2711888111546,34,5.653455262682523,0.0,0,0.0
5,5,1,3,91.4,142.4,601.4,10.6,18.929711974747256,41,5.128034992108518,0.0,0,0.0
2,2,11,0,92.4,117.9,668.0,12.2,20.330401731263755,33,5.206658365253713,0.0,0,0.0
7,4,10,1,86.03814055830266,33.319151833611734,665.178401532576,3.738792993985931,17.6983689107918,42,4.820130487136656,0.0,0,0.0
5,4,6,5,89.5542703315241,275.8161839983345,824.2293416434339,7.914054972861251,13.85178237494608,65,3.5628109945722506,0.0,0,0.0
5,4,11,2,92.2,102.3,751.5,8.4,22.306624102992988,30,2.570138939520655,0.0,0,0.0
6,3,11,0,92.4,117.9,668.0,12.2,19.027870247632,33,5.7814198349120005,0.0,0,0.0
1,4,5,3,92.025281396331,99.33964118478849,459.8936421580345,10.883389040894459,21.55546080393676,39,3.987161466845179,0.0,0,0.0
2,2,11,0,92.41705241236873,118.44567719579933,669.0913543915987,11.58611315472575,20.367358556592812,32,5.993056577362875,0.0,0,0.0
6,5,7,2,85.37321669053817,29.515702116557012,113.04540152137075,3.896814717210205,11.30650515929853,94,4.6983400617456335,0.0,0,0.0
1,2,7,2,89.21310541333067,51.346003016472,102.28178314039467,9.364873471365332,5.643120495690667,59,6.136433719210666,0.0,0,0.0
1,3,1,0,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0,0.0
5,5,7,2,72.37758391493301,22.845888664332804,124.83631274849184,2.829390718407614,10.131223823510414,95,4.1335893924658444,0.0,0,0.0
4,3,11,4,92.9,135.87292905405855,704.328626369621,9.2,27.304002100074616,23,2.900611669098753,0.0,0,0.0
1,3,1,0,95.20652799055468,156.95490838013168,631.7344626224781,11.075354137785318,30.925151078503603,28,2.424645862214683,0.0,0,0.0
4,4,7,1,91.7,35.8,80.8,7.8,15.894687341673254,26,5.057883486743922,0.0,0,0.0
7,5,7,2,87.45135952629367,41.04444689586729,107.30576892737938,6.915069788188432,11.35598475062604,96,3.164472730592764,0.0,0,0.0
4,4,11,4,92.9,136.54845853107432,705.5701400030555,9.2,21.483414115130763,17,1.6905223515032923,0.0,0,0.0
